"pidn","tstp","plev","psex","psed","pgen","pge2","pest","psne","reg1","reg2","reg3","lab1","lab2","lab3"
95,"18/11/2024 10:25:14",2,2,0,2,2,"Alemán",0,5,4,5,5,3,2
96,"18/11/2024 10:28:08",2,2,0,2,2,"Alemán",0,5,5,4,5,1,1
97,"18/11/2024 10:30:54",2,1,1,1,1,"Alemán",0,3,4,3,5,1,1
98,"18/11/2024 10:32:55",2,1,1,1,1,"Alemán",0,4,5,5,5,1,1
99,"18/11/2024 12:22:27",2,1,1,1,1,"Patagonia",0,5,4,5,5,1,1
100,"18/11/2024 12:25:38",2,2,0,2,2,"Patagonia",0,4,5,4,5,1,1
101,"18/11/2024 12:30:39",2,2,0,2,2,"Patagonia",0,5,5,5,5,1,1
102,"18/11/2024 12:32:56",2,2,0,2,2,"Patagonia",0,4,4,4,5,1,1
103,"18/11/2024 12:35:23",2,1,1,1,1,"Patagonia",0,4,4,4,5,1,1
104,"19/11/2024 10:24:37",1,1,1,1,1,"Bernardo O'Higgins",0,5,5,5,5,1,1
105,"19/11/2024 10:27:12",2,1,1,1,1,"Bernardo O'Higgins",0,5,5,5,5,1,1
106,"19/11/2024 10:29:19",2,2,0,2,2,"Bernardo O'Higgins",0,5,5,5,5,1,1
107,"19/11/2024 10:30:55",2,2,0,2,2,"Bernardo O'Higgins",0,5,5,5,5,1,1
108,"19/11/2024 10:32:37",2,2,0,2,2,"Bernardo O'Higgins",0,5,5,5,5,1,1
109,"19/11/2024 10:56:06",1,2,0,2,2,"Bernardo O'Higgins",0,5,5,5,5,1,1
110,"20/11/2024 10:55:48",2,2,0,2,2,"Contardi",1,5,5,5,5,1,1
111,"20/11/2024 10:57:15",2,2,0,2,2,"Contardi",0,5,5,5,5,1,1
112,"20/11/2024 10:58:23",2,1,1,1,1,"Contardi",1,5,5,5,5,1,1
113,"20/11/2024 12:24:36",2,2,0,2,2,"Insafa",0,5,4,4,5,2,2
114,"20/11/2024 12:26:57",2,2,0,2,2,"Insafa",0,3,5,4,5,1,1
115,"20/11/2024 12:30:54",2,2,0,2,2,"Insafa",0,5,5,5,5,1,1
116,"20/11/2024 12:34:35",2,2,0,2,2,"Insafa",0,4,4,4,5,2,3
117,"20/11/2024 12:37:38",2,2,0,2,2,"Insafa",0,4,3,5,5,2,1
118,"21/11/2024 10:28:50",2,1,1,1,1,"Bernardo O'Higgins",0,5,5,5,5,1,1
119,"21/11/2024 10:34:38",2,2,0,2,2,"Bernardo O'Higgins",0,3,4,5,5,1,1
120,"21/11/2024 10:35:22",2,1,1,1,1,"Bernardo O'Higgins",0,5,5,5,5,1,1
121,"21/11/2024 10:38:30",2,2,0,2,2,"Bernardo O'Higgins",0,4,5,5,5,3,1
122,"21/11/2024 10:40:24",2,1,1,1,1,"Bernardo O'Higgins",0,4,3,5,5,1,1
123,"21/11/2024 12:01:49",2,1,1,1,1,"Punta Arenas",0,3,4,4,5,1,1
124,"21/11/2024 12:02:52",2,1,1,1,1,"Punta Arenas",0,4,3,5,5,1,1
125,"21/11/2024 12:03:40",2,2,0,2,2,"Punta Arenas",0,5,1,2,4,1,5
126,"21/11/2024 12:04:26",2,2,0,2,2,"Punta Arenas",0,4,4,2,5,4,4
127,"21/11/2024 12:05:17",2,2,0,2,2,"Punta Arenas",0,5,5,4,5,5,3
128,"22/11/2024 10:05:35",3,2,0,2,2,"Bernardo O'Higgins",0,5,4,3,5,3,1
